constructorStandingsId,raceId,constructorId,points,position,positionText,wins
26101,915,5,29,7,7,0
26102,915,15,0,10,10,0
26103,915,206,2,9,9,0
26104,915,208,8,8,8,0
26105,915,207,0,11,11,0
26106,915,9,342,2,2,3
26107,916,131,608,1,1,14
26108,916,1,147,5,5,0
26109,916,6,196,4,4,0
26110,916,3,238,3,3,0
26111,916,10,123,6,6,0
26112,916,5,30,7,7,0
26113,916,15,0,10,10,0
26114,916,206,2,9,9,0
26115,916,208,10,8,8,0
26116,916,207,0,11,11,0
26117,916,9,363,2,2,3
26118,917,131,651,1,1,15
26119,917,1,161,5,5,0
26120,917,6,210,4,4,0
26121,917,3,254,3,3,0
26122,917,10,127,6,6,0
26123,917,5,30,7,7,0
26124,917,15,0,10,10,0
26125,917,206,2,9,9,0
26126,917,208,10,8,8,0
26127,917,207,0,11,11,0
26128,917,9,373,2,2,3
26129,918,131,701,1,1,16
26130,918,1,181,5,5,0
26131,918,6,216,4,4,0
26132,918,3,320,3,3,0
26133,918,10,155,6,6,0
26134,918,5,30,7,7,0
26135,918,15,0,10,10,0
26136,918,206,2,9,9,0
26137,918,208,10,8,8,0
26138,918,207,0,11,11,0
26139,918,9,405,2,2,3
26733,969,6,37,1,1,1
26140,926,131,43,1,1,1
26141,926,6,15,2,2,0
26142,926,3,12,4,4,0
26143,926,15,14,3,3,0
26144,926,9,8,5,5,0
26145,926,10,7,6,6,0
26146,926,5,2,7,7,0
26147,926,1,0,8,8,0
26148,926,208,0,9,9,0
26149,927,131,76,1,1,1
26150,927,6,52,2,2,1
26151,927,3,30,3,3,0
26152,927,15,14,4,4,0
26153,927,9,11,6,6,0
26154,927,10,7,7,7,0
26155,927,5,12,5,5,0
26156,927,1,0,9,9,0
26157,927,208,0,8,8,0
26158,927,209,0,10,10,0
26159,928,131,119,1,1,2
26160,928,6,79,2,2,1
26161,928,3,48,3,3,0
26162,928,15,19,4,4,0
26163,928,9,13,5,5,0
26164,928,10,7,7,7,0
26165,928,5,12,6,6,0
26166,928,1,0,9,9,0
26167,928,208,6,8,8,0
26168,928,209,0,10,10,0
26169,929,131,159,1,1,3
26170,929,6,107,2,2,1
26171,929,3,61,3,3,0
26172,929,15,19,5,5,0
26173,929,9,23,4,4,0
26174,929,10,11,8,8,0
26175,929,5,12,7,7,0
26176,929,1,0,9,9,0
26177,929,208,12,6,6,0
26178,929,209,0,10,10,0
26179,930,131,202,1,1,4
26180,930,6,132,2,2,1
26181,930,3,81,3,3,0
26182,930,15,19,5,5,0
26183,930,9,30,4,4,0
26184,930,10,11,8,8,0
26185,930,5,14,7,7,0
26186,930,1,0,9,9,0
26187,930,208,16,6,6,0
26188,930,209,0,10,10,0
26189,931,131,242,1,1,5
26190,931,6,158,2,2,1
26191,931,3,81,3,3,0
26192,931,15,21,5,5,0
26193,931,9,52,4,4,0
26194,931,10,17,6,6,0
26195,931,5,15,8,8,0
26196,931,1,4,9,9,0
26197,931,208,16,7,7,0
26198,931,209,0,10,10,0
26199,932,131,285,1,1,6
26200,932,6,180,2,2,1
26201,932,3,104,3,3,0
26202,932,15,21,6,6,0
26203,932,9,54,4,4,0
26204,932,10,21,7,7,0
26205,932,5,15,8,8,0
26206,932,1,4,9,9,0
26207,932,208,23,5,5,0
26208,932,209,0,10,10,0
26209,933,131,328,1,1,7
26210,933,6,192,2,2,1
26211,933,3,129,3,3,0
26212,933,15,21,7,7,0
26213,933,9,55,4,4,0
26214,933,10,31,5,5,0
26215,933,5,19,8,8,0
26216,933,1,4,9,9,0
26217,933,208,29,6,6,0
26218,933,209,0,10,10,0
26219,934,131,371,1,1,8
26220,934,6,211,2,2,1
26221,934,3,151,3,3,0
26222,934,15,21,7,7,0
26223,934,9,63,4,4,0
26224,934,10,39,5,5,0
26225,934,5,19,8,8,0
26226,934,1,5,9,9,0
26227,934,208,29,6,6,0
26228,934,209,0,10,10,0
26229,936,131,383,1,1,8
26230,936,6,236,2,2,2
26231,936,3,151,3,3,0
26232,936,15,22,8,8,0
26233,936,9,96,4,4,0
26234,936,10,39,5,5,0
26235,936,5,31,7,7,0
26236,936,1,17,9,9,0
26237,936,208,35,6,6,0
26238,936,209,0,10,10,0
26260,938,131,451,1,1,10
26259,937,209,0,10,10,0
26257,937,1,17,9,9,0
26256,937,5,35,7,7,0
26253,937,15,23,8,8,0
26258,937,208,50,5,5,0
26252,937,3,161,3,3,0
26255,937,10,49,6,6,0
26254,937,9,108,4,4,0
26251,937,6,242,2,2,2
26250,937,131,426,1,1,9
26261,938,6,270,2,2,2
26262,938,3,188,3,3,0
26263,938,15,25,8,8,0
26264,938,9,113,4,4,0
26265,938,10,63,5,5,0
26266,938,5,35,7,7,0
26267,938,1,17,9,9,0
26268,938,208,50,6,6,0
26269,938,209,0,10,10,0
26270,939,131,463,1,1,10
26271,939,6,310,2,2,3
26272,939,3,198,3,3,0
26273,939,15,26,8,8,0
26274,939,9,139,4,4,0
26275,939,10,69,5,5,0
26276,939,5,41,7,7,0
26277,939,1,17,9,9,0
26278,939,208,50,6,6,0
26279,939,209,0,10,10,0
26297,940,1,17,9,9,0
26294,940,9,139,4,4,0
26292,940,3,208,3,3,0
26299,940,209,0,10,10,0
26298,940,208,60,6,6,0
26296,940,5,44,7,7,0
26295,940,10,77,5,5,0
26291,940,6,337,2,2,3
26293,940,15,26,8,8,0
26290,940,131,506,1,1,11
26384,941,209,0,10,10,0
26383,941,208,66,6,6,0
26382,941,1,19,9,9,0
26381,941,5,45,7,7,0
26380,941,10,92,5,5,0
26379,941,9,149,4,4,0
26378,941,15,34,8,8,0
26377,941,3,220,3,3,0
26376,941,6,359,2,2,3
26394,942,209,0,10,10,0
26375,941,131,531,1,1,12
26393,942,208,70,6,6,0
26390,942,10,102,5,5,0
26388,942,15,36,8,8,0
26392,942,1,27,9,9,0
26391,942,5,63,7,7,0
26387,942,3,220,3,3,0
26389,942,9,150,4,4,0
26386,942,6,374,2,2,3
26385,942,131,574,1,1,13
26403,943,208,71,6,6,0
26400,943,10,112,5,5,0
26398,943,15,36,8,8,0
26404,943,209,0,10,10,0
26402,943,1,27,9,9,0
26401,943,5,65,7,7,0
26397,943,3,243,3,3,0
26399,943,9,172,4,4,0
26396,943,6,374,2,2,3
26395,943,131,617,1,1,14
26413,944,208,76,6,6,0
26410,944,10,120,5,5,0
26408,944,15,36,8,8,0
26414,944,209,0,10,10,0
26412,944,1,27,9,9,0
26411,944,5,67,7,7,0
26407,944,3,253,3,3,0
26409,944,9,178,4,4,0
26406,944,6,401,2,2,3
26405,944,131,660,1,1,15
26434,945,208,78,6,6,0
26431,945,10,136,5,5,0
26429,945,15,36,8,8,0
26435,945,209,0,10,10,0
26433,945,1,27,9,9,0
26432,945,5,67,7,7,0
26428,945,3,257,3,3,0
26430,945,9,187,4,4,0
26427,945,6,428,2,2,3
26426,945,131,703,1,1,16
26524,955,131,258,1,1,7
26566,948,15,0,10,10,0
26567,948,209,0,11,11,0
26557,948,131,43,1,1,1
26565,948,1,0,9,9,0
26564,948,4,0,8,8,0
26563,948,5,3,7,7,0
26562,948,10,6,6,6,0
26561,948,210,8,5,5,0
26560,948,3,14,3,3,0
26559,948,9,12,4,4,0
26558,948,6,15,2,2,0
26447,949,131,83,1,1,2
26448,949,6,33,2,2,0
26449,949,9,30,3,3,0
26450,949,3,20,4,4,0
26451,949,210,18,5,5,0
26452,949,10,6,7,7,0
26453,949,5,11,6,6,0
26454,949,4,0,9,9,0
26455,949,1,1,8,8,0
26456,949,15,0,10,10,0
26457,949,209,0,11,11,0
26458,950,131,114,1,1,3
26459,950,6,61,2,2,0
26460,950,9,57,3,3,0
26461,950,3,29,4,4,0
26462,950,210,18,5,5,0
26463,950,10,6,7,7,0
26464,950,5,17,6,6,0
26465,950,4,0,9,9,0
26466,950,1,1,8,8,0
26467,950,15,0,10,10,0
26468,950,209,0,11,11,0
26469,951,131,157,1,1,4
26470,951,6,76,2,2,0
26471,951,9,57,3,3,0
26472,951,3,51,4,4,0
26473,951,210,22,5,5,0
26474,951,10,8,8,8,0
26475,951,5,17,6,6,0
26476,951,4,6,9,9,0
26477,951,1,10,7,7,0
26478,951,15,0,10,10,0
26479,951,209,0,11,11,0
26480,952,131,157,1,1,4
26481,952,6,109,2,2,0
26482,952,9,94,3,3,1
26483,952,3,65,4,4,0
26484,952,210,22,6,6,0
26485,952,10,14,7,7,0
26486,952,5,26,5,5,0
26487,952,4,6,9,9,0
26488,952,1,12,8,8,0
26489,952,15,0,10,10,0
26490,952,209,0,11,11,0
26491,953,131,188,1,1,5
26492,953,6,121,2,2,0
26493,953,9,112,3,3,1
26494,953,3,66,4,4,0
26495,953,210,22,8,8,0
26496,953,10,37,5,5,0
26497,953,5,30,6,6,0
26498,953,4,6,9,9,0
26499,953,1,24,7,7,0
26500,953,15,0,10,10,0
26501,953,209,0,11,11,0
26502,954,131,223,1,1,6
26503,954,6,147,2,2,0
26504,954,9,130,3,3,1
26505,954,3,81,4,4,0
26506,954,210,22,8,8,0
26507,954,10,42,5,5,0
26508,954,5,32,6,6,0
26509,954,4,6,9,9,0
26510,954,1,24,7,7,0
26511,954,15,0,10,10,0
26512,954,209,0,11,11,0
26525,955,6,177,2,2,0
26526,955,9,140,3,3,1
26527,955,3,90,4,4,0
26528,955,210,22,8,8,0
26529,955,10,59,5,5,0
26530,955,5,32,6,6,0
26531,955,4,6,9,9,0
26532,955,1,24,7,7,0
26533,955,15,0,10,10,0
26534,955,209,0,11,11,0
26535,956,131,295,1,1,8
26536,956,6,192,2,2,0
26537,956,9,168,3,3,1
26538,956,3,92,4,4,0
26539,956,210,28,8,8,0
26540,956,10,59,5,5,0
26541,956,5,36,6,6,0
26542,956,4,6,9,9,0
26543,956,1,32,7,7,0
26544,956,15,0,11,11,0
26545,956,209,1,10,10,0
26546,957,131,335,1,1,9
26547,957,6,204,2,2,0
26548,957,9,198,3,3,1
26549,957,3,92,4,4,0
26550,957,210,28,8,8,0
26551,957,10,73,5,5,0
26552,957,5,41,6,6,0
26553,957,4,6,9,9,0
26554,957,1,32,7,7,0
26555,957,15,0,11,11,0
26556,957,209,1,10,10,0
26568,958,131,378,1,1,10
26569,958,6,224,2,2,0
26570,958,9,223,3,3,1
26571,958,3,94,4,4,0
26572,958,210,28,8,8,0
26573,958,10,74,5,5,0
26574,958,5,45,6,6,0
26575,958,4,6,9,9,0
26576,958,1,38,7,7,0
26577,958,15,0,11,11,0
26578,958,209,1,10,10,0
26579,959,131,415,1,1,11
26580,959,6,242,3,3,0
26581,959,9,256,2,2,1
26582,959,3,96,4,4,0
26583,959,210,28,8,8,0
26584,959,10,81,5,5,0
26585,959,5,45,6,6,0
26586,959,4,6,9,9,0
26587,959,1,42,7,7,0
26588,959,15,0,11,11,0
26589,959,209,1,10,10,0
26590,960,131,455,1,1,12
26591,960,6,252,3,3,0
26592,960,9,274,2,2,1
26593,960,3,101,5,5,0
26594,960,210,28,8,8,0
26595,960,10,103,4,4,0
26596,960,5,45,7,7,0
26597,960,4,6,9,9,0
26598,960,1,48,6,6,0
26599,960,15,0,11,11,0
26600,960,209,1,10,10,0
26601,961,131,498,1,1,13
26602,961,6,279,3,3,0
26603,961,9,290,2,2,1
26604,961,3,111,4,4,0
26605,961,210,28,8,8,0
26606,961,10,108,5,5,0
26607,961,5,45,7,7,0
26608,961,4,6,9,9,0
26609,961,1,48,6,6,0
26610,961,15,0,11,11,0
26611,961,209,1,10,10,0
26612,962,131,538,1,1,14
26613,962,6,301,3,3,0
26614,962,9,316,2,2,1
26615,962,3,111,5,5,0
26616,962,210,28,8,8,0
26617,962,10,112,4,4,0
26618,962,5,47,7,7,0
26619,962,4,7,9,9,0
26620,962,1,54,6,6,0
26621,962,15,0,11,11,0
26622,962,209,1,10,10,0
26623,963,131,553,1,1,14
26624,963,6,313,3,3,0
26625,963,9,359,2,2,2
26626,963,3,121,5,5,0
26627,963,210,28,8,8,0
26628,963,10,124,4,4,0
26629,963,5,47,7,7,0
26630,963,4,8,9,9,0
26631,963,1,62,6,6,0
26632,963,15,0,11,11,0
26633,963,209,1,10,10,0
26634,964,131,593,1,1,15
26635,964,6,335,3,3,0
26636,964,9,385,2,2,2
26637,964,3,124,5,5,0
26638,964,210,28,8,8,0
26639,964,10,134,4,4,0
26640,964,5,47,7,7,0
26641,964,4,8,9,9,0
26642,964,1,62,6,6,0
26643,964,15,0,11,11,0
26644,964,209,1,10,10,0
26712,967,6,375,3,3,0
26697,965,1,74,6,6,0
26711,967,131,722,1,1,18
26698,965,15,0,11,11,0
26690,965,6,347,3,3,0
26696,965,4,8,9,9,0
26695,965,5,55,7,7,0
26694,965,10,138,4,4,0
26692,965,3,130,5,5,0
26693,965,210,29,8,8,0
26691,965,9,400,2,2,2
26689,965,131,636,1,1,16
26708,966,1,74,6,6,0
26710,966,209,1,10,10,0
26709,966,15,0,11,11,0
26701,966,6,365,3,3,0
26707,966,4,8,9,9,0
26706,966,5,55,7,7,0
26705,966,10,145,4,4,0
26703,966,3,136,5,5,0
26704,966,210,29,8,8,0
26702,966,9,427,2,2,2
26700,966,131,679,1,1,17
26699,965,209,1,10,10,0
26713,967,9,446,2,2,2
26714,967,3,136,5,5,0
26715,967,210,29,8,8,0
26716,967,10,163,4,4,0
26717,967,5,63,7,7,0
26718,967,4,8,9,9,0
26719,967,1,75,6,6,0
26720,967,15,2,10,10,0
26721,967,209,1,11,11,0
26722,968,131,765,1,1,19
26723,968,6,398,3,3,0
26724,968,9,468,2,2,2
26725,968,3,138,5,5,0
26726,968,210,29,8,8,0
26727,968,10,173,4,4,0
26728,968,5,63,7,7,0
26729,968,4,8,9,9,0
26730,968,1,76,6,6,0
26731,968,15,2,10,10,0
26732,968,209,1,11,11,0
26734,969,131,33,2,2,0
26735,969,9,10,3,3,0
26736,969,3,8,4,4,0
26737,969,10,7,5,5,0
26738,969,5,6,6,6,0
26739,969,4,0,7,7,0
26740,969,15,0,8,8,0
26741,969,1,0,9,9,0
26742,969,210,0,10,10,0
26743,970,6,65,2,2,1
26744,970,131,66,1,1,1
26745,970,9,37,3,3,0
26746,970,3,8,6,6,0
26747,970,10,10,5,5,0
26748,970,5,12,4,4,0
26749,970,4,0,8,8,0
26750,970,15,0,9,9,0
26751,970,1,0,10,10,0
26752,970,210,4,7,7,0
26753,971,6,102,1,1,2
26754,971,131,99,2,2,1
26755,971,9,47,3,3,0
26756,971,3,16,5,5,0
26757,971,10,17,4,4,0
26758,971,5,12,6,6,0
26759,971,4,2,8,8,0
26760,971,15,0,9,9,0
26761,971,1,0,10,10,0
26762,971,210,8,7,7,0
26763,972,6,135,2,2,2
26764,972,131,136,1,1,2
26765,972,9,57,3,3,0
26766,972,3,18,5,5,0
26767,972,10,31,4,4,0
26768,972,5,13,6,6,0
26769,972,4,6,8,8,0
26770,972,15,0,9,9,0
26771,972,1,0,10,10,0
26772,972,210,8,7,7,0
26773,973,6,153,2,2,2
26774,973,131,161,1,1,3
26775,973,9,72,3,3,0
26776,973,3,18,6,6,0
26777,973,10,53,4,4,0
26778,973,5,21,5,5,0
26779,973,4,14,7,7,0
26780,973,15,4,9,9,0
26781,973,1,0,10,10,0
26782,973,210,9,8,8,0
26783,974,6,196,1,1,3
26784,974,131,179,2,2,3
26785,974,9,97,3,3,0
26786,974,3,20,6,6,0
26787,974,10,53,4,4,0
26788,974,5,29,5,5,0
26789,974,4,14,7,7,0
26790,974,15,4,9,9,0
26791,974,1,0,10,10,0
26792,974,210,14,8,8,0
26793,975,6,214,2,2,3
26794,975,131,222,1,1,4
26795,975,9,112,3,3,0
26796,975,3,22,6,6,0
26797,975,10,71,4,4,0
26798,975,5,29,5,5,0
26799,975,4,18,7,7,0
26800,975,15,4,9,9,0
26801,975,1,0,10,10,0
26802,975,210,15,8,8,0
26803,976,6,226,2,2,3
26804,976,131,250,1,1,4
26805,976,9,137,3,3,1
26806,976,3,37,5,5,0
26807,976,10,79,4,4,0
26808,976,5,33,6,6,0
26809,976,4,18,8,8,0
26810,976,15,5,9,9,0
26811,976,1,2,10,10,0
26812,976,210,21,7,7,0
26813,977,6,254,2,2,3
26814,977,131,287,1,1,5
26815,977,9,152,3,3,1
26816,977,3,40,5,5,0
26817,977,10,89,4,4,0
26818,977,5,33,6,6,0
26819,977,4,18,8,8,0
26820,977,15,5,9,9,0
26821,977,1,2,10,10,0
26822,977,210,29,7,7,0
26823,978,6,275,2,2,3
26824,978,131,330,1,1,6
26825,978,9,174,3,3,1
26826,978,3,41,5,5,0
26827,978,10,95,4,4,0
26828,978,5,33,6,6,0
26829,978,4,26,8,8,0
26830,978,15,5,9,9,0
26831,978,1,2,10,10,0
26832,978,210,29,7,7,0
26833,979,6,318,2,2,4
26834,979,131,357,1,1,6
26835,979,9,184,3,3,1
26836,979,3,41,5,5,0
26837,979,10,101,4,4,0
26838,979,5,39,6,6,0
26839,979,4,26,8,8,0
26840,979,15,5,10,10,0
26841,979,1,11,9,9,0
26842,979,210,29,7,7,0
26843,980,6,348,2,2,4
26844,980,131,392,1,1,7
26845,980,9,199,3,3,1
26846,980,3,45,5,5,0
26847,980,10,103,4,4,0
26848,980,5,40,6,6,0
26849,980,4,34,8,8,0
26850,980,15,5,10,10,0
26851,980,1,11,9,9,0
26852,980,210,35,7,7,0
26853,981,6,373,2,2,4
26854,981,131,435,1,1,8
26855,981,9,212,3,3,1
26856,981,3,55,5,5,0
26857,981,10,113,4,4,0
26858,981,5,40,6,6,0
26859,981,4,34,8,8,0
26860,981,15,5,10,10,0
26861,981,1,11,9,9,0
26862,981,210,35,7,7,0
26863,982,6,373,2,2,4
26864,982,131,475,1,1,9
26865,982,9,230,3,3,1
26866,982,3,59,5,5,0
26867,982,10,124,4,4,0
26868,982,5,52,6,6,0
26869,982,4,42,7,7,0
26870,982,15,5,10,10,0
26871,982,1,17,9,9,0
26872,982,210,37,8,8,0
26873,983,6,385,2,2,4
26874,983,131,503,1,1,9
26875,983,9,270,3,3,2
26876,983,3,65,5,5,0
26877,983,10,133,4,4,0
26878,983,5,52,6,6,0
26879,983,4,42,7,7,0
26880,983,15,5,10,10,0
26881,983,1,23,9,9,0
26882,983,210,37,8,8,0
26883,984,6,395,2,2,4
26884,984,131,540,1,1,10
26885,984,9,303,3,3,2
26886,984,3,66,5,5,0
26887,984,10,147,4,4,0
26888,984,5,52,6,6,0
26889,984,4,42,8,8,0
26890,984,15,5,10,10,0
26891,984,1,23,9,9,0
26892,984,210,43,7,7,0
26893,985,6,428,2,2,4
26894,985,131,575,1,1,11
26895,985,9,315,3,3,2
26896,985,3,68,5,5,0
26897,985,10,159,4,4,0
26898,985,5,53,6,6,0
26899,985,4,48,7,7,0
26900,985,15,5,10,10,0
26901,985,1,23,9,9,0
26902,985,210,43,8,8,0
26903,986,6,455,2,2,4
26904,986,131,595,1,1,11
26905,986,9,340,3,3,3
26906,986,3,76,5,5,0
26907,986,10,175,4,4,0
26908,986,5,53,6,6,0
26909,986,4,48,7,7,0
26910,986,15,5,10,10,0
26911,986,1,24,9,9,0
26912,986,210,47,8,8,0
26913,987,6,495,2,2,5
26914,987,131,625,1,1,11
26915,987,9,358,3,3,3
26916,987,3,82,5,5,0
26917,987,10,177,4,4,0
26918,987,5,53,6,6,0
26919,987,4,49,7,7,0
26920,987,15,5,10,10,0
26921,987,1,28,9,9,0
26922,987,210,47,8,8,0
26923,988,6,522,2,2,5
26924,988,131,668,1,1,12
26925,988,9,368,3,3,3
26926,988,3,83,5,5,0
26927,988,10,187,4,4,0
26928,988,5,53,7,7,0
26929,988,4,57,6,6,0
26930,988,15,5,10,10,0
26931,988,1,30,9,9,0
26932,988,210,47,8,8,0
26933,989,6,40,1,1,1
26934,989,131,22,2,2,0
26935,989,9,20,3,3,0
26936,989,1,12,4,4,0
26937,989,4,7,5,5,0
26938,989,10,0,6,6,0
26939,989,15,0,7,7,0
26940,989,3,0,8,8,0
26941,989,5,0,9,9,0
26942,989,210,0,10,10,0
26982,990,210,10,7,7,0
26979,990,15,2,8,8,0
26981,990,5,12,6,6,0
26980,990,3,0,10,10,0
26975,990,9,20,4,4,0
26976,990,1,22,3,3,0
26977,990,4,15,5,5,0
26978,990,10,1,9,9,0
26974,990,131,55,2,2,0
26973,990,6,65,1,1,2
26963,991,6,84,2,2,2
26964,991,131,85,1,1,0
26965,991,9,55,3,3,1
26966,991,1,28,4,4,0
26967,991,4,25,5,5,0
26968,991,10,1,9,9,0
26969,991,15,2,8,8,0
26970,991,3,0,10,10,0
26971,991,5,12,6,6,0
26972,991,210,11,7,7,0
26983,992,6,114,1,1,2
26984,992,131,110,2,2,1
26985,992,9,55,3,3,1
26986,992,1,36,4,4,0
26987,992,4,35,5,5,0
26988,992,10,16,6,6,0
26989,992,15,10,9,9,0
26990,992,3,4,10,10,0
26991,992,5,13,7,7,0
26992,992,210,11,8,8,0
26993,993,6,126,2,2,2
26994,993,131,153,1,1,2
26995,993,9,80,3,3,1
26996,993,1,40,5,5,0
26997,993,4,41,4,4,0
26998,993,10,18,7,7,0
26999,993,15,11,9,9,0
27000,993,3,4,10,10,0
27001,993,5,13,8,8,0
27002,993,210,19,6,6,0
27003,994,6,156,2,2,2
27004,994,131,178,1,1,2
27005,994,9,107,3,3,2
27006,994,1,40,5,5,0
27007,994,4,46,4,4,0
27008,994,10,26,6,6,0
27009,994,15,11,9,9,0
27010,994,3,4,10,10,0
27011,994,5,19,7,7,0
27012,994,210,19,8,8,0
27013,995,6,189,2,2,3
27014,995,131,206,1,1,2
27015,995,9,134,3,3,2
27016,995,1,40,5,5,0
27017,995,4,56,4,4,0
27018,995,10,28,6,6,0
27019,995,15,12,9,9,0
27020,995,3,4,10,10,0
27021,995,5,19,7,7,0
27022,995,210,19,8,8,0
27023,996,6,214,2,2,3
27024,996,131,237,1,1,3
27025,996,9,164,3,3,2
27026,996,1,40,5,5,0
27027,996,4,62,4,4,0
27028,996,10,28,6,6,0
27029,996,15,13,9,9,0
27030,996,3,4,10,10,0
27031,996,5,19,8,8,0
27032,996,210,27,7,7,0
27033,997,6,247,1,1,3
27034,997,131,237,2,2,3
27035,997,9,189,3,3,3
27036,997,1,44,6,6,0
27037,997,4,62,4,4,0
27038,997,10,42,7,7,0
27039,997,15,16,9,9,0
27040,997,3,4,10,10,0
27041,997,5,19,8,8,0
27042,997,210,49,5,5,0
27043,998,6,287,1,1,4
27044,998,131,267,2,2,3
27045,998,9,199,3,3,3
27046,998,1,48,7,7,0
27047,998,4,70,4,4,0
27048,998,10,49,6,6,0
27049,998,15,16,9,9,0
27050,998,3,4,10,10,0
27051,998,5,19,8,8,0
27052,998,210,51,5,5,0
