raceId,year,round,circuitId,name,date
979,2017,11,11,Hungarian Grand Prix,30-07-17
980,2017,12,13,Belgian Grand Prix,27-08-17
981,2017,13,14,Italian Grand Prix,03-09-17
982,2017,14,15,Singapore Grand Prix,17-09-17
983,2017,15,2,Malaysian Grand Prix,01-10-17
984,2017,16,22,Japanese Grand Prix,08-10-17
985,2017,17,69,United States Grand Prix,22-10-17
986,2017,18,32,Mexican Grand Prix,29-10-17
987,2017,19,18,Brazilian Grand Prix,12-11-17
988,2017,20,24,Abu Dhabi Grand Prix,26-11-17
989,2018,1,1,Australian Grand Prix,25-03-18
990,2018,2,3,Bahrain Grand Prix,08-04-18
991,2018,3,17,Chinese Grand Prix,15-04-18
992,2018,4,73,Azerbaijan Grand Prix,29-04-18
993,2018,5,4,Spanish Grand Prix,13-05-18
994,2018,6,6,Monaco Grand Prix,27-05-18
995,2018,7,7,Canadian Grand Prix,10-06-18
996,2018,8,34,French Grand Prix,24-06-18
997,2018,9,70,Austrian Grand Prix,01-07-18
998,2018,10,9,British Grand Prix,08-07-18
999,2018,11,10,German Grand Prix,22-07-18
1000,2018,12,11,Hungarian Grand Prix,29-07-18
1001,2018,13,13,Belgian Grand Prix,26-08-18
1002,2018,14,14,Italian Grand Prix,02-09-18
1003,2018,15,15,Singapore Grand Prix,16-09-18
1004,2018,16,71,Russian Grand Prix,30-09-18
1005,2018,17,22,Japanese Grand Prix,07-10-18
1006,2018,18,69,United States Grand Prix,21-10-18
1007,2018,19,32,Mexican Grand Prix,28-10-18
1008,2018,20,18,Brazilian Grand Prix,11-11-18
1009,2018,21,24,Abu Dhabi Grand Prix,25-11-18
1010,2019,1,1,Australian Grand Prix,17-03-19
1011,2019,2,3,Bahrain Grand Prix,31-03-19
1012,2019,3,17,Chinese Grand Prix,14-04-19
1013,2019,4,73,Azerbaijan Grand Prix,28-04-19
1014,2019,5,4,Spanish Grand Prix,12-05-19
1015,2019,6,6,Monaco Grand Prix,26-05-19
1016,2019,7,7,Canadian Grand Prix,09-06-19
1017,2019,8,34,French Grand Prix,23-06-19
1018,2019,9,70,Austrian Grand Prix,30-06-19
1019,2019,10,9,British Grand Prix,14-07-19
1020,2019,11,10,German Grand Prix,28-07-19
1021,2019,12,11,Hungarian Grand Prix,04-08-19
1022,2019,13,13,Belgian Grand Prix,01-09-19
1023,2019,14,14,Italian Grand Prix,08-09-19
1024,2019,15,15,Singapore Grand Prix,22-09-19
1025,2019,16,71,Russian Grand Prix,29-09-19
1026,2019,17,22,Japanese Grand Prix,13-10-19
1027,2019,18,32,Mexican Grand Prix,27-10-19
1028,2019,19,69,United States Grand Prix,03-11-19
1029,2019,20,18,Brazilian Grand Prix,17-11-19
1030,2019,21,24,Abu Dhabi Grand Prix,01-12-19
