driverId,driverRef,number,code,forename,surname,dob,nationality
824,jules_bianchi,17,BIA,Jules,Bianchi,03-08-89,French
825,kevin_magnussen,20,MAG,Kevin,Magnussen,05-10-92,Danish
826,kvyat,26,KVY,Daniil,Kvyat,26-04-94,Russian
827,lotterer,45,LOT,André,Lotterer,19-11-81,German
828,ericsson,9,ERI,Marcus,Ericsson,02-09-90,Swedish
829,stevens,28,STE,Will,Stevens,28-06-91,British
830,max_verstappen,33,VER,Max,Verstappen,30-09-97,Dutch
831,nasr,12,NAS,Felipe,Nasr,21-08-92,Brazilian
832,sainz,55,SAI,Carlos,Sainz,01-09-94,Spanish
833,merhi,98,MER,Roberto,Merhi,22-03-91,Spanish
834,rossi,53,RSS,Alexander,Rossi,25-09-91,American
835,jolyon_palmer,30,PAL,Jolyon,Palmer,20-01-91,British
836,wehrlein,94,WEH,Pascal,Wehrlein,18-10-94,German
837,haryanto,88,HAR,Rio,Haryanto,22-01-93,Indonesian
838,vandoorne,2,VAN,Stoffel,Vandoorne,26-03-92,Belgian
839,ocon,31,OCO,Esteban,Ocon,17-09-96,French
840,stroll,18,STR,Lance,Stroll,29-10-98,Canadian
841,giovinazzi,99,GIO,Antonio,Giovinazzi,14-12-93,Italian
843,brendon_hartley,28,HAR,Brendon,Hartley,10-11-89,New Zealander
844,leclerc,16,LEC,Charles,Leclerc,16-10-97,Monegasque
845,sirotkin,35,SIR,Sergey,Sirotkin,27-08-95,Russian
846,norris,4,NOR,Lando,Norris,13-11-99,British
847,russell,63,RUS,George,Russell,15-02-98,British
848,albon,23,ALB,Alexander,Albon,23-03-96,Thai
