constructorResultsId,raceId,constructorId,points
15061,930,10,0
15062,930,1,0
15063,930,209,0
15064,931,131,40
15065,931,6,26
15066,931,9,22
15067,931,10,6
15068,931,1,4
15069,931,15,2
15070,931,5,1
15071,931,208,0
15072,931,3,0
15073,931,209,0
15074,932,131,43
15075,932,3,23
15076,932,6,22
15077,932,208,7
15078,932,10,4
15079,932,9,2
15080,932,5,0
15081,932,15,0
15082,932,209,0
15083,932,1,0
15084,933,131,43
15085,933,3,25
15086,933,6,12
15087,933,10,10
15088,933,208,6
15089,933,5,4
15090,933,9,1
15091,933,15,0
15092,933,209,0
15093,933,1,0
15094,934,131,43
15095,934,6,19
15096,934,3,22
15097,934,9,8
15098,934,10,8
15099,934,1,1
15100,934,15,0
15101,934,209,0
15102,934,5,0
15103,934,208,0
15104,936,6,25
15105,936,9,33
15106,936,5,12
15107,936,1,12
15108,936,131,12
15109,936,208,6
15110,936,15,1
15111,936,3,0
15112,936,209,0
15113,936,10,0
15114,937,131,43
15115,937,208,15
15116,937,9,12
15117,937,10,10
15118,937,3,10
15119,937,6,6
15120,937,5,4
15121,937,15,1
15122,937,1,0
15123,937,206,0
15124,937,209,0
15125,938,131,25
15126,938,6,28
15127,938,3,27
15128,938,10,14
15129,938,9,5
15130,938,15,2
15131,938,5,0
15132,938,1,0
15133,938,209,0
15134,938,208,0
15135,939,6,40
15136,939,9,26
15137,939,131,12
15138,939,3,10
15139,939,10,6
15140,939,5,6
15141,939,15,1
15142,939,208,0
15143,939,209,0
15144,939,1,0
15145,940,131,43
15146,940,6,27
15147,940,3,10
15148,940,10,8
15149,940,208,10
15150,940,5,3
15151,940,1,0
15152,940,9,0
15153,940,15,0
15154,940,209,0
15155,941,131,25
15156,941,6,22
15157,941,10,15
15158,941,3,12
15159,941,9,10
15160,941,15,8
15161,941,208,6
15162,941,1,2
15163,941,5,1
15164,941,209,0
15165,941,206,0
15166,942,131,43
15167,942,6,15
15168,942,5,18
15169,942,10,10
15170,942,1,8
15171,942,208,4
15172,942,15,2
15173,942,9,1
15174,942,209,0
15175,942,3,0
15176,943,131,43
15177,943,3,23
15178,943,9,22
15179,943,10,10
15180,943,5,2
15181,943,208,1
15182,943,15,0
15183,943,1,0
15184,943,206,0
15185,943,6,0
15186,944,131,43
15187,944,6,27
15188,944,3,10
15189,944,10,8
15190,944,9,6
15191,944,208,5
15192,944,5,2
15193,944,15,0
15194,944,1,0
15195,944,209,0
15196,943,209,0
15197,945,131,43
15198,945,6,27
15199,945,10,16
15200,945,9,9
15201,945,3,4
15202,945,208,2
15203,945,5,0
15204,945,1,0
15205,945,15,0
15206,945,206,0
15207,945,209,0
15208,948,131,43
15209,948,6,15
15210,948,9,12
15211,948,3,14
15212,948,210,8
15213,948,10,6
15214,948,5,3
15215,948,4,0
15216,948,1,0
15217,948,15,0
15218,948,209,0
15219,949,131,40
15220,949,6,18
15221,949,9,18
15222,949,210,10
15223,949,5,8
15224,949,3,6
15225,949,1,1
15226,949,4,0
15227,949,15,0
15228,949,209,0
15229,949,10,0
15230,950,131,31
15231,950,6,28
15232,950,9,27
15233,950,3,9
15234,950,5,6
15235,950,10,0
15236,950,1,0
15237,950,210,0
15238,950,15,0
15239,950,4,0
15240,950,209,0
15241,951,131,43
15242,951,6,15
15243,951,3,22
15244,951,1,9
15245,951,4,6
15246,951,210,4
15247,951,10,2
15248,951,9,0
15249,951,5,0
15250,951,15,0
15251,951,209,0
15252,952,9,37
15253,952,6,33
15254,952,3,14
15255,952,5,9
15256,952,10,6
15257,952,1,2
15258,952,210,0
15259,952,15,0
15260,952,4,0
15261,952,209,0
15262,952,131,0
15263,953,131,31
15264,953,9,18
15265,953,10,23
15266,953,6,12
15267,953,1,12
15268,953,5,4
15269,953,3,1
15270,953,210,0
15271,953,209,0
15272,953,15,0
15273,953,4,0
15274,954,131,35
15275,954,6,26
15276,954,3,15
15277,954,9,18
15278,954,10,5
15279,954,5,2
15280,954,1,0
15281,954,210,0
15282,954,15,0
15283,954,4,0
15284,954,209,0
15285,955,131,35
15286,955,6,30
15287,955,10,17
15288,955,3,9
15289,955,9,10
15290,955,1,0
15291,955,15,0
15292,955,210,0
15293,955,4,0
15294,955,209,0
15295,955,5,0
15296,956,131,37
15297,956,9,28
15298,956,6,15
15299,956,1,8
15300,956,210,6
15301,956,5,4
15302,956,3,2
15303,956,209,1
15304,956,4,0
15305,956,15,0
15306,956,10,0
15307,957,131,40
15308,957,9,30
15309,957,6,12
15310,957,10,14
15311,957,5,5
15312,957,3,0
15313,957,1,0
15314,957,15,0
15315,957,210,0
15316,957,4,0
15317,957,209,0
15318,958,131,43
15319,958,9,25
15320,958,6,20
15321,958,1,6
15322,958,5,4
15323,958,3,2
15324,958,10,1
15325,958,4,0
15326,958,210,0
15327,958,15,0
15328,958,209,0
15329,959,131,37
15330,959,9,33
15331,959,6,18
15332,959,10,7
15333,959,1,4
15334,959,3,2
15335,959,210,0
15336,959,5,0
15337,959,4,0
15338,959,209,0
15339,959,15,0
15340,960,131,40
15341,960,9,18
15342,960,10,22
15343,960,6,10
15344,960,1,6
15345,960,3,5
15346,960,210,0
15347,960,5,0
15348,960,4,0
15349,960,209,0
15350,960,15,0
15351,961,131,43
15352,961,6,27
15353,961,9,16
15354,961,3,10
15355,961,10,5
15356,961,210,0
15357,961,1,0
15358,961,5,0
15359,961,15,0
15360,961,4,0
15361,961,209,0
15362,962,131,40
15363,962,9,26
15364,962,6,22
15365,962,1,6
15366,962,10,4
15367,962,5,2
15368,962,4,1
15369,962,210,0
15370,962,3,0
15371,962,15,0
15372,962,209,0
15373,963,9,43
15374,963,131,15
15375,963,6,12
15376,963,3,10
15377,963,10,12
15378,963,1,8
15379,963,4,1
15380,963,5,0
15381,963,15,0
15382,963,209,0
15383,963,210,0
15384,964,131,40
15385,964,9,26
15386,964,6,22
15387,964,10,10
15388,964,3,3
15389,964,210,0
15390,964,4,0
15391,964,5,0
15392,964,15,0
15393,964,1,0
15394,964,209,0
15395,965,131,43
15396,965,9,15
15397,965,6,12
15398,965,1,12
15399,965,5,8
15400,965,3,6
15401,965,10,4
15402,965,210,1
15403,965,4,0
15404,965,15,0
15405,965,209,0
15406,966,131,43
15407,966,6,18
15408,966,9,27
15409,966,10,7
15410,966,3,6
15411,966,15,0
15412,966,1,0
15413,966,4,0
15414,966,5,0
15415,966,210,0
15416,966,209,0
15417,967,131,43
15418,967,9,19
15419,967,10,18
15420,967,6,10
15421,967,5,8
15422,967,15,2
15423,967,1,1
15424,967,3,0
15425,967,209,0
15426,967,4,0
15427,967,210,0
15428,968,131,43
15429,968,6,23
15430,968,9,22
15431,968,10,10
15432,968,3,2
15433,968,1,1
15434,968,210,0
15435,968,209,0
15436,968,15,0
15437,968,4,0
15438,968,5,0
15439,969,6,37
15440,969,131,33
15441,969,9,10
15442,969,3,8
15443,969,10,7
15444,969,5,6
15445,969,4,0
15446,969,15,0
15447,969,1,0
15448,969,210,0
15449,970,131,33
15450,970,6,28
15451,970,9,27
15452,970,5,6
15453,970,210,4
15454,970,10,3
15455,970,4,0
15456,970,3,0
15457,970,15,0
15458,970,1,0
15459,971,6,37
15460,971,131,33
15461,971,9,10
15462,971,3,8
15463,971,10,7
15464,971,210,4
15465,971,4,2
15466,971,15,0
15467,971,5,0
15468,971,1,0
15469,972,131,37
15470,972,6,33
15471,972,9,10
15472,972,10,14
15473,972,4,4
15474,972,3,2
15475,972,5,1
15476,972,210,0
15477,972,1,0
15478,972,15,0
15479,973,131,25
15480,973,6,18
15481,973,9,15
15482,973,10,22
15483,973,4,8
15484,973,5,8
15485,973,15,4
15486,973,210,1
15487,973,1,0
15488,973,3,0
15489,974,6,43
15490,974,9,25
15491,974,131,18
15492,974,5,8
15493,974,210,5
15494,974,3,2
15495,974,4,0
15496,974,10,0
15497,974,1,0
15498,974,15,0
15499,975,131,43
15500,975,9,15
15501,975,6,18
15502,975,10,18
15503,975,4,4
15504,975,3,2
15505,975,210,1
15506,975,15,0
15507,975,1,0
15508,975,5,0
15509,976,9,25
15510,976,131,28
15511,976,3,15
15512,976,6,12
15513,976,10,8
15514,976,210,6
15515,976,5,4
15516,976,1,2
15517,976,15,1
15518,976,4,0
15520,977,131,37
15521,977,6,28
15522,977,9,15
15523,977,210,8
15524,977,10,10
15525,977,3,3
15526,977,4,0
15527,977,1,0
15528,977,15,0
15529,977,5,0
15530,978,131,43
15531,978,6,21
15532,978,9,22
15533,978,4,8
15534,978,10,6
15535,978,3,1
15536,978,1,0
15537,978,210,0
15538,978,15,0
15539,978,5,0
15540,979,6,43
15541,979,131,27
15542,979,9,10
15543,979,1,9
15544,979,5,6
15545,979,10,6
15546,979,4,0
15547,979,210,0
15548,979,3,0
15549,979,15,0
15550,980,131,35
15551,980,6,30
15552,980,9,15
15553,980,4,8
15554,980,210,6
15555,980,3,4
15556,980,10,2
15557,980,5,1
15558,980,1,0
15559,980,15,0
15560,981,131,43
15561,981,6,25
15562,981,9,13
15563,981,10,10
15564,981,3,10
15565,981,210,0
15566,981,5,0
15567,981,4,0
15568,981,15,0
15569,981,1,0
15570,982,131,40
15571,982,9,18
15572,982,5,12
15573,982,10,11
15574,982,4,8
15575,982,1,6
15576,982,3,4
15577,982,210,2
15578,982,15,0
15579,982,6,0
15580,983,9,40
15581,983,131,28
15582,983,6,12
15583,983,10,9
15584,983,1,6
15585,983,3,6
15586,983,210,0
15587,983,5,0
15588,983,4,0
15589,983,15,0
15590,984,131,37
15591,984,9,33
15592,984,6,10
15593,984,10,14
15594,984,210,6
15595,984,3,1
15596,984,1,0
15597,984,4,0
15598,984,5,0
15599,984,15,0
15600,985,131,35
15601,985,6,33
15602,985,9,12
15603,985,10,12
15604,985,4,6
15605,985,3,2
15606,985,5,1
15607,985,1,0
15608,985,210,0
15609,985,15,0
15610,986,9,25
15611,986,131,20
15612,986,6,27
15613,986,10,16
15614,986,3,8
15615,986,210,4
15616,986,1,1
15617,986,5,0
15618,986,15,0
15619,986,4,0
15620,987,6,40
15621,987,131,30
15622,987,9,18
15623,987,3,6
15624,987,1,4
15625,987,10,2
15626,987,4,1
15627,987,5,0
15628,987,15,0
15629,987,210,0
15630,988,131,43
15631,988,6,27
15632,988,9,10
15633,988,4,8
15634,988,10,10
15635,988,1,2
15636,988,3,1
15637,988,210,0
15638,988,15,0
15639,988,5,0
15640,989,6,40
15641,989,131,22
15642,989,9,20
15643,989,1,12
15644,989,4,7
15645,989,10,0
15646,989,15,0
15647,989,3,0
15648,989,5,0
15649,989,210,0
15650,990,6,25
15651,990,131,33
15652,990,5,12
15653,990,210,10
15654,990,4,8
15655,990,1,10
15656,990,15,2
15657,990,10,1
15658,990,3,0
15659,990,9,0
15660,991,9,35
15661,991,131,30
15662,991,6,19
15663,991,4,10
15664,991,1,6
15665,991,210,1
15666,991,10,0
15667,991,3,0
15668,991,15,0
15669,991,5,0
15670,992,131,25
15671,992,6,30
15672,992,10,15
15673,992,4,10
15674,992,15,8
15675,992,1,8
15676,992,3,4
15677,992,5,1
15678,992,210,0
15679,992,9,0
15680,993,131,43
15681,993,9,25
15682,993,6,12
15683,993,210,8
15684,993,4,6
15685,993,1,4
15686,993,10,2
15687,993,15,1
15688,993,3,0
15689,993,5,0
15690,994,9,27
15691,994,6,30
15692,994,131,25
15693,994,10,8
15694,994,5,6
15695,994,4,5
15696,994,15,0
15697,994,210,0
15698,994,1,0
15699,994,3,0
15700,995,6,33
15701,995,131,28
15702,995,9,27
15703,995,4,10
15704,995,10,2
15705,995,15,1
15706,995,5,0
15707,995,210,0
15708,995,1,0
15709,995,3,0
15710,996,131,31
15711,996,9,30
15712,996,6,25
15713,996,210,8
15714,996,4,6
15715,996,15,1
15716,996,1,0
15717,996,5,0
15718,996,3,0
15719,996,10,0
15720,997,9,25
15721,997,6,33
15722,997,210,22
15723,997,10,14
15724,997,1,4
15725,997,15,3
15726,997,5,0
15727,997,4,0
15728,997,3,0
15729,997,131,0
15730,998,6,40
15731,998,131,30
15732,998,9,10
15733,998,4,8
15734,998,10,7
15735,998,1,4
15736,998,210,2
15737,998,3,0
15738,998,5,0
15739,998,15,0
15740,999,131,43
15741,999,6,15
15742,999,9,12
15743,999,4,10
15744,999,210,8
15745,999,10,10
15746,999,15,2
15747,999,5,1
15748,999,1,0
15749,999,3,0
15750,1000,131,35
15751,1000,6,33
15752,1000,9,12
15753,1000,5,8
15754,1000,210,7
15755,1000,1,4
15756,1000,4,2
15757,1000,10,0
15758,1000,15,0
15759,1000,3,0
15760,1001,6,25
15761,1001,131,30
15762,1001,9,15
15763,1001,10,18
15764,1001,210,10
15765,1001,5,2
15766,1001,15,1
15767,1001,4,0
15768,1001,3,0
15769,1001,1,0
15770,1002,131,40
15771,1002,6,30
15772,1002,9,10
15773,1002,210,0
15774,1002,10,14
15775,1002,4,4
15776,1002,3,3
15777,1002,15,0
15778,1002,1,0
15779,1002,5,0
15780,1003,131,37
15781,1003,9,26
15782,1003,6,25
15783,1003,1,6
15784,1003,4,5
15785,1003,15,2
15786,1003,5,0
15787,1003,3,0
15788,1003,210,0
15789,1003,10,0
15790,1004,131,43
15791,1004,6,27
15792,1004,9,18
15793,1004,15,6
15794,1004,210,4
15795,1004,10,3
15796,1004,4,0
15797,1004,1,0
15798,1004,3,0
15799,1004,5,0
15800,1005,131,43
15801,1005,9,27
15802,1005,6,18
15803,1005,10,8
15804,1005,210,4
15805,1005,4,1
15806,1005,5,0
15807,1005,15,0
15808,1005,1,0
15809,1005,3,0
15810,1006,6,37
15811,1006,9,18
15812,1006,131,25
15813,1006,4,14
15814,1006,10,4
15815,1006,210,0
15816,1006,5,2
15817,1006,15,1
15818,1006,1,0
15819,1006,3,0
15822,1007,131,22
15823,1007,4,8
15824,1007,15,8
15825,1007,1,4
15826,1007,5,1
15827,1007,10,0
15828,1007,3,0
15829,1007,210,0
15830,1008,131,35
15831,1008,9,30
15832,1008,6,23
15833,1008,15,6
15834,1008,210,6
15835,1008,10,1
15836,1008,5,0
15837,1008,4,0
15838,1008,1,0
15839,1008,3,0
15840,1009,131,35
15841,1009,6,18
15842,1009,9,27
15843,1009,4,8
15844,1009,15,6
15845,1009,10,4
15846,1009,210,3
15847,1009,1,0
15848,1009,5,0
15849,1009,3,0
15850,1010,131,44
15851,1010,9,15
15852,1010,6,22
15853,1010,210,8
15854,1010,4,6
15855,1010,51,4
15856,1010,211,2
15857,1010,5,1
15858,1010,1,0
15859,1010,3,0
15860,1011,131,43
15861,1011,6,26
15862,1011,9,16
15863,1011,1,8
15864,1011,51,6
15865,1011,211,1
15866,1011,210,0
15867,1011,3,0
15868,1011,4,0
15869,1011,5,2
15870,1012,131,43
15871,1012,6,25
15872,1012,9,21
15873,1012,4,6
15874,1012,211,4
15875,1012,51,2
15876,1012,5,1
15877,1012,210,0
15878,1012,1,0
15879,1012,3,0
15880,1013,131,43
15881,1013,6,26
15882,1013,9,12
15883,1013,211,10
15884,1013,1,10
15885,1013,51,1
15886,1013,5,0
15887,1013,210,0
15888,1013,4,0
15889,1013,3,0
15890,1014,131,44
15891,1014,9,23
15892,1014,6,22
15893,1014,210,7
15894,1014,1,4
15895,1014,5,2
15896,1014,4,0
15897,1014,51,0
15898,1014,211,0
15899,1014,3,0
15900,1015,131,40
15901,1015,6,18
15902,1015,9,23
15903,1015,1,8
15904,1015,5,10
15905,1015,4,2
15906,1015,210,1
15907,1015,211,0
15908,1015,3,0
15909,1015,51,0
15910,1016,131,38
15911,1016,6,33
15912,1016,9,14
15913,1016,4,14
15914,1016,211,2
15915,1016,5,1
15916,1016,1,0
15917,1016,51,0
15918,1016,210,0
15919,1016,3,0
